frame,xmin,xmax,ymin,ymax,class_id,y
1478019959187829768.jpg,0,42,113,226,1,"[0, 0, 0, 1, 0, 0, 1, 0, 0]"
1478019959681353555.jpg,1,72,110,196,1,"[0, 0, 0, 1, 0, 0, 1, 0, 0]"
1478019960189614397.jpg,24,84,116,180,1,"[0, 0, 0, 1, 0, 0, 1, 0, 0]"
1478019977188852426.jpg,165,219,102,130,1,"[0, 0, 0, 0, 0, 0, 0, 0, 0]"
1478019977680527341.jpg,148,206,101,134,1,"[0, 0, 0, 0, 0, 1, 0, 0, 0]"
1478019978180101986.jpg,112,184,106,146,1,"[0, 0, 0, 0, 1, 1, 0, 0, 0]"
1478019978686299906.jpg,74,146,105,145,1,"[0, 0, 0, 1, 1, 0, 0, 0, 0]"
1478019979179856014.jpg,20,106,102,149,1,"[1, 0, 0, 1, 1, 0, 0, 0, 0]"
1478020212192080435.jpg,40,90,104,159,1,"[0, 0, 0, 1, 0, 0, 0, 0, 0]"
1478020212689685926.jpg,23,81,99,168,1,"[0, 0, 0, 1, 0, 0, 1, 0, 0]"
1478020213196446056.jpg,0,64,99,177,1,"[0, 0, 0, 1, 0, 0, 1, 0, 0]"
1478020224197266285.jpg,177,227,110,168,1,"[0, 0, 0, 0, 0, 1, 0, 0, 1]"
1478020227191969599.jpg,186,255,114,177,1,"[0, 0, 0, 0, 0, 1, 0, 0, 1]"
1478020232212661501.jpg,180,232,117,164,1,"[0, 0, 0, 0, 0, 1, 0, 0, 1]"
1478020233691620643.jpg,189,237,104,158,1,"[0, 0, 0, 0, 0, 1, 0, 0, 0]"
1478020239701924862.jpg,3,58,92,137,1,"[1, 0, 0, 1, 0, 0, 0, 0, 0]"
1478020240191697026.jpg,18,77,87,142,1,"[1, 0, 0, 1, 0, 0, 0, 0, 0]"
1478020240698496203.jpg,37,99,88,142,1,"[1, 0, 0, 1, 1, 0, 0, 0, 0]"
1478020241197041221.jpg,58,120,89,143,1,"[1, 1, 0, 1, 1, 0, 0, 0, 0]"
1478020241689891151.jpg,81,131,91,145,1,"[1, 1, 0, 1, 1, 0, 0, 0, 0]"
1478020242196911641.jpg,100,141,91,144,1,"[0, 0, 0, 0, 1, 0, 0, 0, 0]"
1478020242704259784.jpg,115,147,90,143,1,"[0, 0, 0, 0, 1, 0, 0, 0, 0]"
1478020243205145193.jpg,0,59,114,170,1,"[0, 0, 0, 1, 0, 0, 1, 0, 0]"
1478020243205145193.jpg,124,152,91,143,1,"[0, 0, 0, 0, 0, 0, 0, 0, 0]"
1478020243689728545.jpg,37,136,113,169,1,"[0, 0, 0, 1, 1, 0, 1, 1, 0]"
1478020244189375590.jpg,121,219,116,171,1,"[0, 0, 0, 0, 1, 1, 0, 1, 1]"
1478020256192066071.jpg,161,190,96,149,1,"[0, 0, 0, 0, 0, 0, 0, 0, 0]"
1478020256699578122.jpg,167,201,92,148,1,"[0, 0, 0, 0, 0, 1, 0, 0, 0]"
1478020257199227642.jpg,174,217,83,155,1,"[0, 0, 1, 0, 0, 1, 0, 0, 0]"
1478020257692662705.jpg,184,244,76,161,1,"[0, 0, 1, 0, 0, 1, 0, 0, 1]"
1478020258199186280.jpg,199,255,58,173,1,"[0, 0, 1, 0, 0, 1, 0, 0, 1]"
1478020258692272616.jpg,192,240,110,163,1,"[0, 0, 0, 0, 0, 1, 0, 0, 0]"
1478020259194111192.jpg,212,255,104,172,1,"[0, 0, 0, 0, 0, 1, 0, 0, 1]"
1478020259694436222.jpg,206,253,115,168,1,"[0, 0, 0, 0, 0, 1, 0, 0, 1]"
1478020269690837190.jpg,201,253,115,142,1,"[0, 0, 0, 0, 0, 0, 0, 0, 0]"
1478020269690837190.jpg,201,253,104,149,1,"[0, 0, 0, 0, 0, 1, 0, 0, 0]"
1478020270191361531.jpg,182,235,114,142,1,"[0, 0, 0, 0, 0, 0, 0, 0, 0]"
1478020270191361531.jpg,186,237,105,150,1,"[0, 0, 0, 0, 0, 1, 0, 0, 0]"
1478020270697025674.jpg,162,213,108,152,1,"[0, 0, 0, 0, 0, 1, 0, 0, 0]"
1478020270697025674.jpg,162,214,116,145,1,"[0, 0, 0, 0, 0, 0, 0, 0, 0]"
1478020271190634502.jpg,138,190,116,144,1,"[0, 0, 0, 0, 0, 0, 0, 0, 0]"
1478020271190634502.jpg,140,192,109,152,1,"[0, 0, 0, 0, 1, 1, 0, 0, 0]"
1478020271698715751.jpg,110,163,119,146,1,"[0, 0, 0, 0, 0, 0, 0, 0, 0]"
1478020271698715751.jpg,112,163,113,157,1,"[0, 0, 0, 0, 1, 0, 0, 0, 0]"
1478020272197005958.jpg,82,134,116,146,1,"[0, 0, 0, 0, 0, 0, 0, 0, 0]"
1478020272197005958.jpg,82,133,110,155,1,"[0, 0, 0, 1, 1, 0, 0, 0, 0]"
1478020272691084348.jpg,50,101,109,152,1,"[0, 0, 0, 1, 0, 0, 0, 0, 0]"
1478020273199399031.jpg,26,114,106,156,1,"[1, 0, 0, 1, 1, 0, 1, 0, 0]"
1478020273696759660.jpg,100,195,102,161,1,"[0, 1, 0, 0, 1, 1, 0, 1, 1]"
1478020278191731673.jpg,0,74,113,157,1,"[0, 0, 0, 1, 0, 0, 1, 0, 0]"
1478020278697427963.jpg,67,141,116,161,1,"[0, 0, 0, 1, 1, 0, 1, 1, 0]"
1478020279199978858.jpg,142,216,114,159,1,"[0, 0, 0, 0, 1, 1, 0, 0, 1]"
1478020279698929810.jpg,165,218,114,141,1,"[0, 0, 0, 0, 0, 0, 0, 0, 0]"
1478020281197174739.jpg,11,94,119,158,1,"[0, 0, 0, 1, 0, 0, 1, 0, 0]"
1478020281691971536.jpg,81,164,119,158,1,"[0, 0, 0, 1, 1, 0, 0, 1, 0]"
1478020282192788758.jpg,155,237,115,157,1,"[0, 0, 0, 0, 0, 1, 0, 0, 1]"
1478020284198449721.jpg,27,107,117,155,1,"[0, 0, 0, 1, 0, 0, 1, 0, 0]"
1478020284690878247.jpg,101,182,117,157,1,"[0, 0, 0, 0, 1, 1, 0, 1, 0]"
1478020285197265564.jpg,0,82,120,154,1,"[0, 0, 0, 1, 0, 0, 1, 0, 0]"
1478020285197265564.jpg,174,255,116,154,1,"[0, 0, 0, 0, 0, 1, 0, 0, 1]"
1478020285691193851.jpg,74,156,115,165,1,"[0, 0, 0, 1, 1, 0, 1, 1, 0]"
1478020286191401014.jpg,149,231,110,161,1,"[0, 0, 0, 0, 1, 1, 0, 0, 1]"
1478020291199453460.jpg,17,104,116,159,1,"[0, 0, 0, 1, 0, 0, 1, 0, 0]"
1478020291692201953.jpg,79,165,115,161,1,"[0, 0, 0, 1, 1, 0, 0, 1, 0]"
1478020292192550265.jpg,145,231,110,162,1,"[0, 0, 0, 0, 1, 1, 0, 0, 1]"
1478020296697349606.jpg,237,254,108,218,1,"[0, 0, 0, 0, 0, 0, 0, 0, 0]"
1478020297191534570.jpg,234,255,101,211,1,"[0, 0, 0, 0, 0, 1, 0, 0, 1]"
1478020297691704932.jpg,234,255,93,202,1,"[0, 0, 0, 0, 0, 1, 0, 0, 0]"
1478020298191539209.jpg,238,255,89,199,1,"[0, 0, 0, 0, 0, 1, 0, 0, 0]"
1478020298698253922.jpg,243,255,89,199,1,"[0, 0, 0, 0, 0, 0, 0, 0, 0]"
1478020330702034893.jpg,190,236,104,166,1,"[0, 0, 0, 0, 0, 1, 0, 0, 0]"
1478020331195227455.jpg,201,255,98,179,1,"[0, 0, 0, 0, 0, 1, 0, 0, 1]"
1478020332195713692.jpg,198,247,112,168,1,"[0, 0, 0, 0, 0, 1, 0, 0, 1]"
1478020337202186521.jpg,0,59,105,174,1,"[0, 0, 0, 1, 0, 0, 1, 0, 0]"
1478020340193948464.jpg,203,255,108,168,1,"[0, 0, 0, 0, 0, 1, 0, 0, 1]"
1478020341201277146.jpg,186,243,112,164,1,"[0, 0, 0, 0, 0, 1, 0, 0, 1]"
1478020341695199752.jpg,203,255,101,181,1,"[0, 0, 0, 0, 0, 1, 0, 0, 1]"
1478020346194823680.jpg,0,52,113,151,1,"[0, 0, 0, 1, 0, 0, 0, 0, 0]"
1478020350194803939.jpg,164,198,103,156,1,"[0, 0, 0, 0, 0, 1, 0, 0, 0]"
1478020350695713599.jpg,140,230,104,156,1,"[0, 0, 1, 0, 1, 1, 0, 0, 1]"
1478020351195471769.jpg,109,206,103,161,1,"[0, 1, 0, 0, 1, 1, 0, 1, 1]"
1478020351703772183.jpg,78,175,104,162,1,"[0, 1, 0, 1, 1, 1, 0, 1, 0]"
1478020352201615863.jpg,31,137,108,165,1,"[0, 0, 0, 1, 1, 0, 1, 1, 0]"
1478020352694716692.jpg,0,97,110,185,1,"[0, 0, 0, 1, 1, 0, 1, 0, 0]"
1478020364701202643.jpg,186,248,113,163,1,"[0, 0, 0, 0, 0, 1, 0, 0, 1]"
1478020365195090332.jpg,205,255,116,186,1,"[0, 0, 0, 0, 0, 1, 0, 0, 1]"
1478020365695548477.jpg,180,240,116,171,1,"[0, 0, 0, 0, 0, 1, 0, 0, 1]"
1478020366196699943.jpg,195,254,112,186,1,"[0, 0, 0, 0, 0, 1, 0, 0, 1]"
1478020366695998008.jpg,169,225,104,165,1,"[0, 0, 0, 0, 0, 1, 0, 0, 1]"
1478020367202451748.jpg,182,252,98,184,1,"[0, 0, 1, 0, 0, 1, 0, 0, 1]"
1478020369696317469.jpg,203,255,112,169,1,"[0, 0, 0, 0, 0, 1, 0, 0, 1]"
1478020371204216348.jpg,178,232,101,160,1,"[0, 0, 0, 0, 0, 1, 0, 0, 0]"
1478020371703470462.jpg,196,253,95,179,1,"[0, 0, 0, 0, 0, 1, 0, 0, 1]"
1478020380203053395.jpg,174,229,115,141,1,"[0, 0, 0, 0, 0, 0, 0, 0, 0]"
1478020380702593247.jpg,154,221,111,143,1,"[0, 0, 0, 0, 0, 1, 0, 0, 0]"
1478020381205247557.jpg,131,207,111,151,1,"[0, 0, 0, 0, 1, 1, 0, 0, 0]"
1478020381697016635.jpg,98,174,109,149,1,"[0, 0, 0, 0, 1, 1, 0, 0, 0]"
1478020382202253558.jpg,61,137,110,150,1,"[0, 0, 0, 1, 1, 0, 0, 0, 0]"
1478020382696651481.jpg,9,85,112,152,1,"[0, 0, 0, 1, 0, 0, 1, 0, 0]"
1478020383696274836.jpg,178,255,101,151,1,"[0, 0, 1, 0, 0, 1, 0, 0, 0]"
1478020384196905587.jpg,112,197,102,155,1,"[0, 1, 0, 0, 1, 1, 0, 1, 0]"
1478020384704893124.jpg,47,132,102,156,1,"[1, 0, 0, 1, 1, 0, 1, 0, 0]"
1478020385196089931.jpg,0,74,107,160,1,"[0, 0, 0, 1, 0, 0, 1, 0, 0]"
1478020386703471170.jpg,0,11,99,160,1,"[0, 0, 0, 0, 0, 0, 0, 0, 0]"
1478020408697085442.jpg,176,224,114,166,1,"[0, 0, 0, 0, 0, 1, 0, 0, 1]"
1478020409196924823.jpg,192,255,110,182,1,"[0, 0, 0, 0, 0, 1, 0, 0, 1]"
1478020413198498857.jpg,192,253,111,174,1,"[0, 0, 0, 0, 0, 1, 0, 0, 1]"
1478020419697386200.jpg,184,237,128,172,1,"[0, 0, 0, 0, 0, 1, 0, 0, 1]"
1478020421703195424.jpg,172,220,103,160,1,"[0, 0, 0, 0, 0, 1, 0, 0, 0]"
1478020421703195424.jpg,227,255,106,158,1,"[0, 0, 0, 0, 0, 0, 0, 0, 0]"
1478020422196622112.jpg,183,246,103,176,1,"[0, 0, 0, 0, 0, 1, 0, 0, 1]"
1478020422696366401.jpg,192,254,96,198,1,"[0, 0, 0, 0, 0, 1, 0, 0, 1]"
1478020423202642910.jpg,174,222,113,165,1,"[0, 0, 0, 0, 0, 1, 0, 0, 1]"
1478020445702628104.jpg,244,254,111,172,1,"[0, 0, 0, 0, 0, 0, 0, 0, 0]"
1478020446196466464.jpg,224,254,99,159,1,"[0, 0, 0, 0, 0, 1, 0, 0, 0]"
1478020446696982815.jpg,4,56,107,156,1,"[0, 0, 0, 1, 0, 0, 0, 0, 0]"
1478020446696982815.jpg,209,253,100,155,1,"[0, 0, 0, 0, 0, 1, 0, 0, 0]"
1478020450204977679.jpg,225,254,109,162,1,"[0, 0, 0, 0, 0, 0, 0, 0, 0]"
1478020452197377512.jpg,218,255,108,164,1,"[0, 0, 0, 0, 0, 1, 0, 0, 0]"
1478020452696553193.jpg,201,252,102,157,1,"[0, 0, 0, 0, 0, 1, 0, 0, 0]"
1478020491698266386.jpg,57,115,116,136,1,"[0, 0, 0, 0, 0, 0, 0, 0, 0]"
1478020492199146290.jpg,90,147,114,138,1,"[0, 0, 0, 0, 0, 0, 0, 0, 0]"
1478020492705794594.jpg,122,179,114,137,1,"[0, 0, 0, 0, 0, 0, 0, 0, 0]"
