frame,xmin,xmax,ymin,ymax,class_id,y
1478898322883789960.jpg,42,125,114,219,1,"[0, 0, 0, 1, 1, 0, 1, 1, 0]"
1479500170589039377.jpg,205,255,107,178,1,"[0, 0, 0, 0, 0, 1, 0, 0, 1]"
1479500148086792488.jpg,50,149,102,222,1,"[0, 0, 0, 1, 1, 0, 1, 1, 0]"
1479504674391089817.jpg,48,165,59,224,1,"[1, 1, 0, 1, 1, 1, 1, 1, 1]"
1479504718900170793.jpg,218,254,109,203,1,"[0, 0, 0, 0, 0, 1, 0, 0, 1]"
1479505249429970218.jpg,169,227,116,177,1,"[0, 0, 0, 0, 0, 1, 0, 0, 1]"
1478896939791410812.jpg,72,115,122,177,1,"[0, 0, 0, 1, 1, 0, 1, 1, 0]"
1479502389736966849.jpg,0,56,107,192,1,"[0, 0, 0, 1, 0, 0, 1, 0, 0]"
1478897231720047600.jpg,55,179,109,192,1,"[0, 0, 0, 1, 1, 1, 1, 1, 1]"
1479499611548754750.jpg,32,83,121,172,1,"[0, 0, 0, 1, 0, 0, 1, 0, 0]"
1478021901589431519.jpg,0,29,124,180,1,"[0, 0, 0, 0, 0, 0, 0, 0, 0]"
1479504914906980801.jpg,101,136,109,164,1,"[0, 0, 0, 0, 1, 0, 0, 0, 0]"
1479502923774881982.jpg,200,255,120,155,1,"[0, 0, 0, 0, 0, 1, 0, 0, 0]"
1479504931910517679.jpg,86,185,93,217,1,"[0, 1, 0, 1, 1, 1, 1, 1, 1]"
1479500354101698747.jpg,80,199,103,232,1,"[0, 0, 0, 1, 1, 1, 1, 1, 1]"
1478899344349549166.jpg,152,240,93,211,1,"[0, 0, 1, 0, 1, 1, 0, 1, 1]"
1478732056577328639.jpg,0,56,110,201,1,"[0, 0, 0, 1, 0, 0, 1, 0, 0]"
1478732969563715761.jpg,177,226,104,160,1,"[0, 0, 0, 0, 0, 1, 0, 0, 0]"
1479505256413063549.jpg,0,63,110,174,1,"[0, 0, 0, 1, 0, 0, 1, 0, 0]"
1479502584250282818.jpg,0,18,129,200,1,"[0, 0, 0, 0, 0, 0, 0, 0, 0]"
1479506105466232891.jpg,173,236,105,174,1,"[0, 0, 0, 0, 0, 1, 0, 0, 1]"
1478732135718935305.jpg,100,134,114,166,1,"[0, 0, 0, 0, 1, 0, 0, 0, 0]"
1478900216138001816.jpg,159,216,113,155,1,"[0, 0, 0, 0, 0, 1, 0, 0, 0]"
1478732763108595800.jpg,48,106,98,162,1,"[0, 0, 0, 1, 1, 0, 1, 0, 0]"
1479500393602057503.jpg,66,202,99,251,1,"[0, 1, 0, 1, 1, 1, 1, 1, 1]"
1478898580535191787.jpg,36,91,127,178,1,"[0, 0, 0, 1, 0, 0, 1, 0, 0]"
1478899951059237607.jpg,75,138,114,190,1,"[0, 0, 0, 1, 1, 0, 1, 1, 0]"
1478896728415378283.jpg,243,255,133,216,1,"[0, 0, 0, 0, 0, 0, 0, 0, 0]"
1478900923966675240.jpg,103,141,116,169,1,"[0, 0, 0, 0, 1, 0, 0, 0, 0]"
1478898529690830190.jpg,182,211,110,164,1,"[0, 0, 0, 0, 0, 0, 0, 0, 0]"
1478901307874078470.jpg,205,255,119,171,1,"[0, 0, 0, 0, 0, 1, 0, 0, 1]"
1478897542501807366.jpg,49,96,116,169,1,"[0, 0, 0, 1, 0, 0, 1, 0, 0]"
1478020384704893124.jpg,47,132,102,156,1,"[1, 0, 0, 1, 1, 0, 1, 0, 0]"
1478900924537431423.jpg,98,141,116,178,1,"[0, 0, 0, 1, 1, 0, 0, 1, 0]"
1478896958072468518.jpg,17,123,122,241,1,"[0, 0, 0, 1, 1, 0, 1, 1, 0]"
1478900982237538992.jpg,123,174,124,176,1,"[0, 0, 0, 0, 1, 1, 0, 1, 1]"
1479505148922743524.jpg,157,213,104,171,1,"[0, 0, 0, 0, 1, 1, 0, 0, 1]"
1478897404249217061.jpg,0,43,93,167,1,"[0, 0, 0, 1, 0, 0, 0, 0, 0]"
1478731959085491514.jpg,189,251,113,148,1,"[0, 0, 0, 0, 0, 1, 0, 0, 0]"
1478897142027572318.jpg,102,216,86,160,1,"[0, 1, 1, 0, 1, 1, 0, 1, 1]"
1478732404109158333.jpg,0,23,100,196,1,"[0, 0, 0, 1, 0, 0, 0, 0, 0]"
1479498791492164694.jpg,0,38,102,162,1,"[0, 0, 0, 1, 0, 0, 0, 0, 0]"
1478898912454809151.jpg,44,109,114,201,1,"[0, 0, 0, 1, 1, 0, 1, 1, 0]"
1478020566708819281.jpg,193,255,90,197,1,"[0, 0, 1, 0, 0, 1, 0, 0, 1]"
1479505312933609557.jpg,0,12,141,203,1,"[0, 0, 0, 0, 0, 0, 0, 0, 0]"
1478732162671531775.jpg,17,61,91,145,1,"[0, 0, 0, 1, 0, 0, 0, 0, 0]"
1478897664186231258.jpg,176,253,104,191,1,"[0, 0, 0, 0, 0, 1, 0, 0, 1]"
1478899459180693211.jpg,38,106,122,199,1,"[0, 0, 0, 1, 1, 0, 1, 1, 0]"
1478900309259547899.jpg,169,210,108,162,1,"[0, 0, 0, 0, 0, 1, 0, 0, 0]"
1478896846671149927.jpg,64,114,121,174,1,"[0, 0, 0, 1, 1, 0, 1, 1, 0]"
1479505574451290159.jpg,4,57,107,163,1,"[0, 0, 0, 1, 0, 0, 1, 0, 0]"
1478896833531671893.jpg,13,107,113,218,1,"[0, 0, 0, 1, 1, 0, 1, 1, 0]"
1479504801901708789.jpg,0,64,98,181,1,"[0, 0, 0, 1, 0, 0, 1, 0, 0]"
1479502166223118585.jpg,107,165,95,187,1,"[0, 0, 0, 0, 1, 1, 0, 1, 1]"
1479505038414798110.jpg,41,148,110,174,1,"[0, 0, 0, 1, 1, 0, 1, 1, 0]"
1479498789991950428.jpg,152,226,93,171,1,"[0, 0, 1, 0, 1, 1, 0, 0, 1]"
1479502427739865215.jpg,177,238,100,168,1,"[0, 0, 0, 0, 0, 1, 0, 0, 1]"
1478901123345556428.jpg,158,226,112,146,1,"[0, 0, 0, 0, 0, 1, 0, 0, 0]"
1479501523678334289.jpg,0,9,118,202,1,"[0, 0, 0, 0, 0, 0, 0, 0, 0]"
1479499895567975584.jpg,220,254,116,199,1,"[0, 0, 0, 0, 0, 1, 0, 0, 1]"
1479505067920319869.jpg,0,48,112,166,1,"[0, 0, 0, 1, 0, 0, 1, 0, 0]"
1478896814679046298.jpg,0,41,114,176,1,"[0, 0, 0, 1, 0, 0, 1, 0, 0]"
1479504159858780868.jpg,110,207,105,226,1,"[0, 0, 0, 0, 1, 1, 0, 1, 1]"
1479506123988286242.jpg,61,117,111,140,1,"[0, 0, 0, 0, 0, 0, 0, 0, 0]"
1478020964720369726.jpg,190,255,115,190,1,"[0, 0, 0, 0, 0, 1, 0, 0, 1]"
1479503019282197579.jpg,0,29,111,169,1,"[0, 0, 0, 1, 0, 0, 0, 0, 0]"
1479504926907927366.jpg,114,174,94,186,1,"[0, 1, 0, 0, 1, 1, 0, 1, 1]"
1479500168089063537.jpg,219,255,114,174,1,"[0, 0, 0, 0, 0, 1, 0, 0, 0]"
1478899379769723210.jpg,173,230,113,168,1,"[0, 0, 0, 0, 0, 1, 0, 0, 1]"
1478897906414357338.jpg,238,255,119,203,1,"[0, 0, 0, 0, 0, 0, 0, 0, 0]"
1479501522178577486.jpg,0,12,116,173,1,"[0, 0, 0, 0, 0, 0, 0, 0, 0]"
1479499418037510093.jpg,44,101,114,145,1,"[0, 0, 0, 1, 0, 0, 0, 0, 0]"
1479498564477313399.jpg,0,28,87,189,1,"[0, 0, 0, 1, 0, 0, 0, 0, 0]"
1478896082285323059.jpg,58,95,110,166,1,"[0, 0, 0, 1, 1, 0, 0, 0, 0]"
1478732103602413393.jpg,37,161,103,238,1,"[0, 0, 0, 1, 1, 0, 1, 1, 1]"
1479504491378867210.jpg,76,171,104,226,1,"[0, 0, 0, 1, 1, 1, 1, 1, 1]"
1479502482243411650.jpg,0,58,110,178,1,"[0, 0, 0, 1, 0, 0, 1, 0, 0]"
1478897942975697620.jpg,125,197,124,205,1,"[0, 0, 0, 0, 1, 1, 0, 1, 1]"
1478898487986686475.jpg,186,255,110,174,1,"[0, 0, 0, 0, 0, 1, 0, 0, 1]"
1478899381483783436.jpg,157,214,104,174,1,"[0, 0, 0, 0, 1, 1, 0, 0, 1]"
1479505175924448576.jpg,0,32,100,189,1,"[0, 0, 0, 1, 0, 0, 1, 0, 0]"
1478899608285297425.jpg,139,248,110,167,1,"[0, 0, 0, 0, 1, 1, 0, 1, 1]"
1478897148883893317.jpg,0,73,126,174,1,"[0, 0, 0, 1, 0, 0, 1, 0, 0]"
1479500640121154526.jpg,189,255,116,186,1,"[0, 0, 0, 0, 0, 1, 0, 0, 1]"
1478899813378683973.jpg,122,204,119,174,1,"[0, 0, 0, 0, 1, 1, 0, 1, 1]"
1478898072658222771.jpg,70,119,105,179,1,"[0, 0, 0, 1, 1, 0, 1, 1, 0]"
1478898631380482909.jpg,156,235,125,183,1,"[0, 0, 0, 0, 1, 1, 0, 1, 1]"
1479503975823582788.jpg,99,172,109,202,1,"[0, 0, 0, 1, 1, 1, 1, 1, 1]"
1478900493785477890.jpg,0,50,116,182,1,"[0, 0, 0, 1, 0, 0, 1, 0, 0]"
1478020296697349606.jpg,237,254,108,218,1,"[0, 0, 0, 0, 0, 0, 0, 0, 0]"
1479505979458036255.jpg,190,248,108,162,1,"[0, 0, 0, 0, 0, 1, 0, 0, 1]"
1478899362630665678.jpg,52,161,114,235,1,"[0, 0, 0, 1, 1, 0, 1, 1, 1]"
1478900200141924750.jpg,103,255,109,247,1,"[0, 0, 0, 0, 1, 1, 0, 1, 1]"
1479501924705784358.jpg,96,150,64,179,1,"[0, 1, 0, 1, 1, 1, 0, 1, 0]"
1479504717895679112.jpg,187,254,110,183,1,"[0, 0, 0, 0, 0, 1, 0, 0, 1]"
1478898324025854293.jpg,42,126,114,219,1,"[0, 0, 0, 1, 1, 0, 1, 1, 0]"
1478899746537774357.jpg,155,254,98,241,1,"[0, 0, 1, 0, 1, 1, 0, 1, 1]"
1479504892408089785.jpg,233,255,112,167,1,"[0, 0, 0, 0, 0, 0, 0, 0, 0]"
1478021584075204499.jpg,0,54,119,163,1,"[0, 0, 0, 1, 0, 0, 1, 0, 0]"
